,fecha,HORA declarada,Ruta,OperadOR,flight_no,route,ac_type,registration,cn_ln,all_aboard,PASAJEROS A BORDO,crew_aboard,cantidad de fallecidos,passenger_fatalities,crew_fatalities,ground,summary
35,"April 10, 1920",?,"Newark, New Jersey",US Aerial Mail Service,?,?,Curtiss R-4LM,49,?,2,1,1,1,0,1,0,After a fire erupted in flight the pilot decided to make an emergency landing but the aircraft crashed.
36,"April 11, 1920",?,"Heller Field, New Jersey",US Aerial Mail Service,?,?,Curtiss JN-4H,44,?,2,1,1,1,0,1,0,The aircraft crashed while on approach for unknown reasons.
37,"May 12, 1920",?,"Oskaloosa, Iowa",US Aerial Mail Service,?,?,De Havilland DH-4,79,?,2,1,1,1,1,0,0,"In worsening weather conditions, the pilot lost his sense of orientation and crashed in a field."
38,"June 06, 1920",?,"Cleveland, Ohio",US Aerial Mail Service,?,?,De Havilland DH-4,204,?,1,0,1,1,0,1,0,The aircraft suffered engine failure and crashed shortly after taking off.
39,"July 20, 1920",?,"Cartagena, Columbia",Compañia Colombiana de Navegación Aérea,?,?,Farman F-40,?,?,1,1,1,1,1,1,0,Crashed while taking off after engine failure. Engine failure due to fuel exhaustion.
40,"August 16, 1920",?,"Bedford, England",By Air,?,?,Armstrong-Whitworth F-K-8,G-EALW,?,1,0,1,1,0,1,0,The plane crashed during a cargo flight under unknown circumstances.
41,"August 16, 1920",?,"College Park, Maryland",US Aerial Mail Service,?,?,De Havilland DH-4,317,?,1,0,1,1,0,1,0,"While approaching in poor visibility to land, the plane hit a radio mast and crashed in flames."
42,"September 01, 1920",?,"Morristown, New Jersey",US Aerial Mail Service,?,?,Junkers JL-6,305,?,2,0,2,2,0,2,0,"While en route, the mail plane went out of control and crashed after experiencing an in flight fire."
43,"September 15, 1920",?,"Pemberville, Ohio",US Aerial Mail Service,?,?,Junkers F-13,308,?,2,?,?,2,?,?,0,The pilot crashed after attempting to make an emergency landing after the engine caught fire.
44,"September 27, 1920",?,"Hillersburg, Pennsylvania",US Aerial Mail Service,?,?,De Havilland DH-4,316,?,1,0,1,1,0,1,0,The plane struck power lines and crashed in flames after flying at a low altitude in poor visibility.
45,"October 02, 1920",?,"Off Port Vendres, France",Latecoere Airlines,?,?,Salmson 2-A-2,F-ALAI,31,2,1,1,2,1,1,0,Crashed into the Mediterranean while on a mail flight.
46,"October 05, 1920",?,"Valencia, Spain",Latecoere Airlines,?,?,Breguet 14,F-ALTA,20,2,1,1,2,1,1,0,While on a mail flight the plane crashed while attempting to land.
47,"October 15, 1920",?,"Batavia, Illinois",US Aerial Mail Service,?,?,De Havilland DH-4,76,?,1,0,1,1,0,1,0,While attempting to land in fog the aircraft hit an obstruction and crashed.
48,"November 07, 1920",?,"Tie Siding, Wyoming",US Aerial Mail Service,?,?,De Havilland DH-4,?,178,1,0,1,1,0,1,0,The aircraft crashed into a mountain in poor weather condtions.
49,"December 14, 1920",1215,"London, England",Handley Page Transport,?,London - Paris,Handley Page HP-16,G-EAMA,HP-25,8,6,2,4,2,2,0,The plane failed to gain altitude after taking off from Criclklewood and crashed into a tree and a house. Pilot error in taking off towards a hill in unfavorable wind conditions and fog.The first commercial air disaster to result in passenger fatalities during a regularly scheduled service..
50,"December 24, 1920",?,"Barcelona, Spain",Aeropostale,?,?,Breguet 14,F-ALBO,57,1,0,1,1,0,1,0,The aircraft stalled and crashed when an engine failed.
51,"February 03, 1921",?,"Mendotta, Minnisota",US Aerial Mail Service,?,?,De Havilland DH-4,130,?,1,0,1,1,0,1,0,Shortly after takeoff from Minneapolis-World Chamberlain Field the engine failed. The aircraft lost altitude and crashed  in a field.
52,"February 09, 1921",?,"La Crosse, Wisconsin",US Aerial Mail Service,?,?,Junkers F-13,301,?,3,0,3,3,0,3,0,Crashed for unknown reasons. Both pilots and the mechanic were killed.
53,"February 15, 1921",?,Off Gibraltar,Aeropostale,?,?,Breguet 14,F-ALBA,?,2,0,2,2,0,2,0,The mail fligh encountered poor weather conditions and crashed into the ocean while on approach to Gibraltar. The bodies of the crew were never recovered.
54,"February 22, 1921",?,"Elko, Nevada",US Aerial Mail Service,?,?,De Havilland DH-4,67,?,1,0,1,1,0,1,0,"Shortly after taking off, the aircraft stalled and crashed ."
55,"April 06, 1921",?,"Point Cook, Australia",Military - Royal Australian Air Force,?,?,Avro 504,H3021,?,2,0,0,2,0,0,0,"Shortly after taking off on a training flight, the aircraft dove into the ground and exploded in flames."
56,"April 21, 1921",?,"Mitchel Field, NY",US Aerial Mail Service,?,?,De Havilland DH-4,160,?,1,0,1,1,0,1,0,After taking off the aircraft stalled and crashed.
57,"April 29, 1921",?,"Cleveland, Ohio",US Aerial Mail Service,?,?,De Havilland DH-4,196,?,1,0,1,1,0,1,0,"The aircraft crashed in a field, short of the runway, a few minutes before its scheduled arrival in Cleveland. The weather was poor with fog."
58,"May 17, 1921",?,"Rock Springs, Wyoming",US Aerial Mail Service,?,?,"De Havilland DH-4De Havilland DH-4",176,?,1,0,1,1,0,1,0,Crashed while attempting to land.
59,"August 14, 1921",?,"Toulouse, France",Aeropostale,?,?,Breguet 14,F-ALBI,?,2,?,?,2,?,?,0,?
60,"August 24, 1921",1740,"River Humber, England",Military - Royal Airship Works,?,?,Royal Airship Works ZR-2 (airship),R-38,R-38,49,0,49,43,0,43,1,"Crashed due to structural failure followed by two explosions and a fire. Attributed to faulty design. This was a test flight before being handed over to the navy. Thirty-two British and 17 Americans were on board, and the survivors were 5 British and 1 American.  The fatalities included the designer, Charles Campbell, who had copied a captured German design intended for high-altitude flight, therefore the skeleton was a bit weaker than some.  The pilot overstressed it by attempting a turn at 62 mph at low altitude."
61,"September 06, 1921",?,"Paris, France",Franco-Roumaine,?,Warsaw - Prague - Strasbourg - Paris,Potez IX,F-ADCD,160,5,4,1,5,4,1,0,Crashed while making an approach to Le Bourget Airport in Paris. Pilot aborted the landing due to another aircraft on the runway.
62,"December 05, 1921",?,"Near Murchinson River, Australia",West Australian Airways,?,Geraldton - Derby,Bristol 28 Tourer,G-AUDI,6116,2,0,2,2,0,2,0,On approach to Geraldton the plane crashed near the Murchinson River. Considered the first commercial flight in Australila.
63,"January 14, 1922",?,"Paris, France",Handley Page Transport,?,?,Handley Page O/10,G-EATN,HP-43,5,4,1,5,4,1,5,Crashed at Le Bourget field.
64,"February 21, 1922",?,"Near Norfolk, Virginia",Military - U.S. Army Air Service,?,?,Dirigible Roma (airship),?,?,45,?,?,34,?,?,0,Crashed from a height of 500 ft. after experiencing control problems cause by malfunctioning controls.
65,"March 22, 1922",1140,North Atlantic Ocean,Aero Limited,?,Miami - Bimini,Aeromarine Model 85 (flying boat),?,?,6,5,1,5,5,0,0,"The plane ditched into the ocean about 40 miles East of Florida after a propeller blade broke. Only the pilot survived, being picked up over 2 days later. The flying boat was named Miss Miami."
66,"April 07, 1922",1315,"Grandvilliers, France",Daimler Airways / Grands Express Aeriens,?,Croydon - Le Bourget,de Havilland DH-18 / Farman F-60 Goliath,G-EAOW/FGEAD,4,7,5,2,7,5,2,0,"A midair collision occurred at 400 ft. in poor visibility approximately 18 miles north of Beauvais, France. The pilots of both planes were using the road as a route marker in bad weather and poor visibility. This was the  first commercial midair collision in aviation history. Two killed on the de Havilland, five on the Faman F-60."
67,"April 08, 1922",?,"Pao Ting Fou, China",?,?,Test,?,?,?,17,0,17,17,0,17,0,Aboard were all workers taking part in a flight test. All seventeen aboard were Chinese nationals.
68,"June 03, 1922",?,"Off Folkestone, Kent, England",Cie des Messageries Aeriennes,?,Croydon - Paris,Bleriot Spad 27,F-ACMH,555,3,2,1,3,2,1,0,Went down into the English Channel while en route.
69,"July 04, 1922",?,"Fuhlsbuttel, Germany",?,?,Hamburg - Berlin,LVG C VI,?,?,3,2,1,2,1,1,0,"The passenger/mail plane lost it's engine while taking off and crashed into trees. Actress Fern Andra survived the accident but her director, Georg Bluen did not. The pilot, Lothar von Richthofen, was also killed. He was a World War I ace and brother of Manfred von Richthofen (The Red Baron)."
70,"July 16, 1922",1645,"Near Saverne, Lorraine, France",Compagnie Franco-Roumaine de Navigaation Aerienne,?,Strasbourg - Paris,Potez 29,F-FREI,25,5,4,1,5,4,1,0,Lost an engine and could not make an emergency landing because of gusty winds. Stalled while making a turn and crashed.
71,"July 26, 1922",?,"Cadix, Spain",Grands Express Aeriens,?,?,Breguet 14,F-ALVE,117,3,2,1,3,2,1,0,"While attempting to make an emergency landing due to engine problems, the aircraft hit telephone lines and crashed."
72,"September 07, 1922",?,"Indianapolis, Indiana",US Aerial Mail Service,?,?,De Havilland DH-4,227,?,1,0,1,1,0,1,0,The plane stalled shortly after takeoff and crashed.
73,"October 02, 1922",?,"Venice, Italy",de Havilland Air Service,?,Venice - London,de Havilland DH-9,G-EAYT,14,4,3,1,4,3,1,0,Shortly after taking off the plane crashed into the sea and sank.
74,"October 25, 1922",?,"Larache, Morocco",Grands Express Aeriens,?,?,Breguet 14,?,?,2,1,1,2,1,1,0,Crashed under unknown circumstances.
75,"December 03, 1922",?,"Fez, Morocco",Grands Express Aeriens,?,Toulouse - Barcelona - Valencia - Alicante - Malaga - Rabat,Breguet 14,F-ALNA,14,1,0,1,1,0,1,0,While flying in foggy conditions the pilot reduced altitude and crashed into a hill.
76,"January 10, 1923",?,"Ajaccio, France",Amee de l'Air,?,?,Lioré-et-Olivier H-13,F-AEIB,4,4,2,2,3,1,2,0,The plane crashed mid-air due to a structural failure of the tail.
77,"January 17, 1923",?,"Barcelona, Spain",Grands Express Aeriens,?,?,Breguet 14,F-ALJU,6083-130,1,0,1,1,0,1,0,Crashed into a mountain during a snowstorm.
78,"January 18, 1923",?,"Cheyenne, Wyoming",US Aerial Mail Service,?,?,De Havilland DH-4,223,?,1,0,1,1,0,1,0,Crashed during a mail flight.
79,"February 26, 1923",?,"Meadville, Pennsylvania",US Aerial Mail Service,?,?,De Havilland DH-4,291,?,1,0,1,1,0,1,0,The pilot lost control of the aircraft  while on approach in poor weather conditions.
80,"May 14, 1923",1342,"Near Amiens, Picrdie, France",Grands Express Aeriens (Air Union),?,Paris - London,Farman F-60 Goliath,F-AEBY,15,6,4,2,6,4,2,0,"Broke-up in mid air after suffering structural failure at 3,000 ft. after a onboard fire weakened the plane's structure losing a wing. Possibly started by a passenger discarding a match after lighting a cigarette."
81,"August 27, 1923",1730,"East Mallling, United Kingdom",Air Union,?,Paris - Berck-sur-Mer - Croydon,Farman F.60 Goliath,F-AECB,4,11,9,2,1,1,0,0,"The aircraft lost an engine about 45 minutes into the flight. As the plane was incapable of maintaining level flight with only one engine operating, the pilot decided to make an emergency landing. He asked the mechanic to ask two passengers to move towards the rear of the aircraft. This instruction was apparently misunderstood by the passengers, as four of them moved towards the rear of the aircraft. This affected the center of gravity of the aircraft, which then entered into a spin and crashed."
82,"August 27, 1923",?,"Bucharest, Romania",Campagnie France Roumaine,?,?,Blériot Spad 46,F-AEGN,28,2,1,1,2,1,1,0,Crashed while on approach to Bucharesst.
83,"September 07, 1923",?,"Colton, Ohio",US Aerial Mail Service,?,?,De Havilland DH-4,283,?,1,0,1,1,0,1,0,Crashed during an emergency landing attempt.
84,"September 14, 1923",c 18:00,"Near Ivinghoe, Buckinghamshire, England",Daimler Airways,?,Croydon - Manchester,de Havilland DH-34,G-EBBS,29,5,3,2,5,3,2,0,Crashed while attempting a forced landing after encountering heavy rain.
85,"November 18, 1923",?,Russia,CCCP,?,?,Junkers F-13,D-257,?,5,2,3,3,1,2,0,Crashed during a training flight.
86,"December 06, 1923",?,"Castalia, Ohio",US Aerial Mail Service,?,?,De Havilland DH-4,318,?,1,0,1,1,0,1,0,Crashed under unknown circumstances.
87,"December 23, 1923",c 02:30,Over the Mediterranean Sea,Military - French Navy,?,Toulon - Algiers,Zeppelin Dixmunde (airship),L-72,?,52,?,?,52,?,?,0,"Crashed while on a flight from Toulon, France to Algiers, Algeria.  The last known radio contact reported the ship nearly out of fuel and battling strong winds.  Struck by lightning."
88,"December 24, 1923",?,"Egbert, WY",US Aerial Mail Service,?,?,De Havilland DH-4,315,?,1,0,1,1,0,1,0,Crashed into a montain in poor weather conditions.
89,"March 07, 1924",?,"Grampian, Pennsylvania",US Aerial Mail Service,?,?,De Havilland DH-4,327,?,1,0,1,1,0,1,0,Crashed during a snowstorm.
90,"April 24, 1924",?,Over the English Channel,KLM Royal Dutch Airlines,?,"Lympne, England - Rotterdam, The Netherlands",Fokker F.III,H-NABS,1535,3,2,1,3,2,1,0,The aircraft disappeared over the North Sea. The plane and passengers were never found.
91,"June 08, 1924",?,"Barranquilla, Colombia",SCADTA,?,Barranquilla - Bogota,Junkers F-13,A16,684,5,3,2,5,3,2,0,Stalled after taking off and crashed into houses..
92,"August 01, 1924",?,United States,US Aerial Mail Service,?,?,De Havilland DH-4,297,?,1,0,1,1,0,1,0,"The pliot made a low pass in honor of another pilot who had died, stalled and cashed."
93,"November 06, 1924",?,"Cabrerolles, France",Grands Express Aeriens,?,?,Breguet 14,F-AFBD,?,1,0,1,1,0,1,0,"While en route the pilot encountered thunderstorms, lost control and crashed."
94,"December 21, 1924",?,"Goshen, Indiana",US Aerial Mail Service,?,?,De Havilland DH-4,311,?,1,0,1,1,0,1,0,"Lost in a snowstorm, the pilot decided to bail out of the plane but was killed."
95,"December 24, 1924",c 12:00,"Purley, England",Imperial Airways,?,London - Paris,de Havilland DH-34B,G-EBBX,36,8,7,1,8,7,1,0,"Shortly after taking off, witnesses observed a puff of white smoke after which the plane nose-dived into the ground. Crashed due to an unknown mechanical failure and subsiquent stall. Captain Stewart and seven passengers were killed in an attempted forced landing."
96,"March 22, 1925",?,"Near Tiflis, Georgia, USSR",Zakavia,?,Tiflis - Suchumi,Junkers F-13,R-RECA,590,5,3,2,5,3,2,0,Shortly after take off the plane went out of control and crashed in flames.
97,"April 25, 1925",?,"Alicante, Spain",Grands Express Aeriens,?,Alicante - Barcelona - Toulouse,Breguet 14,F-AFBB,202,3,1,2,3,1,2,0,"Shortly after takeoff, while flying at a low altitude, in poor visibility, the, aircraft hit a lightning rod, stalled and crashed."
98,"June 25, 1925",?,"Landrécies, France",KLM Royal Dutch Airlines,?,Amsterdam - Paris,Fokker (KLM)  F.III,H-NABM,1502,4,3,1,4,3,1,0,"While in a turn in bad weather, the right wing struck trees and the plane crashed. Failure of an aileron in flight."
99,"June 26, 1925",?,"Alicante, Spain",Grands Express Aeriens,?,Oran - Alicante,Lioré-et-Olivier LeO H-13,F-FREM,?,2,0,2,2,0,2,0,While attempting to land the seaplane hit a lightning mast and crashed.
100,"July 20, 1925",?,"Rosas, Spain",Lignes Aeriennes Latecoere,?,Toulouse - Barcelona,Breguet 14,F-AFBI,209,1,0,1,1,0,1,0,Crashed in unknown circumstance.
101,"July 24, 1925",?,"Budapest, Hungary",CIDNA,?,?,Potez IX,?,?,1,0,1,1,0,1,0,Crashed while attempting to land 10 km from the airport
102,"September 03, 1925",0530,"Caldwell, Ohio",Military - U.S. Navy,?,"Lakehurst, NJ - S.t Louis, MO",Dirigible ZR-1 Shenandoah (airship),ZR-1,?,43,0,43,14,0,14,0,"The Shenandoah was flying over Southern Ohio when she abruptly encountered violent atmospheric conditions (thunderstorms). Powerful air currents buffeted her so severely that her crew was unable to maintain control. Rising rapidly above her pressure height, then falling and rising again, her hull structure was overstressed amidships, breaking the airship in two. Shenandoah's external control car and two engine cars fell free, carrying the dirigible's commanding officer and several other men to their deaths. The stern section came down nearby, while several men were able to fly the bow section to ground as a free balloon. The airship was the first one inflated with helium instead of hydrogen, which may have saved lives since it did not explode when it came apart. The airship was the first one inflated with helium instead of hydrogen, which may have saved lives since it did not explode when it came apart."
103,"September 07, 1925",?,"Toul, France",CIDNA,?,?,Spad 33,?,?,?,?,?,?,?,?,?,?
104,"October 01, 1925",?,"Mt. Nittany, Ohio",US Aerial Mail Service,?,New York - San Francisco,De Havilland DH-4,385,?,1,0,1,1,0,1,0,Crashed into a wooded area on Mt. Nittany in fog and low visibility.
105,"November 14, 1925",?,"Nouadhibou, Mauritania",Lignes Aeriennes Latecoere,?,?,Breguet 14,F-AEGZ,168,1,0,1,1,0,1,0,The pilot suffered sunstroke lost control of the plane and crashed.
106,"November 14, 1925",?,"Off Boulogne-sur-Mer, France",Air Union,?,?,Farman F-60 Goliath,F-FHMY,?,2,?,?,2,?,?,0,?
107,"February 12, 1926",?,"Montpelier, Ohio",US Aerial Mail Service,?,?,Curtiss Carrier Pigeon,602,?,1,0,1,1,0,1,0,"While the mail plane was flying at a low altitude, the  aircraft hit trees and crashed in a wooded area."
108,"March 08, 1926",?,"Staaken, Germany",Deutche Lufthansa,?,?,Junkers F-13,"D-290D-290",665,1,0,1,1,0,1,0,While in a training filight the aircraft stalled and crashed while attempting to land.
109,"May 31, 1926",?,English Channel,Air Union,?,Paris - Cryodon,Breguet 14,F-ADAI,1908,1,0,1,1,0,1,0,The mail plane crashed into the English Channel and was never found.
110,"July 03, 1926",?,"Rossaugpt, Czechoslovakia",Compagnie Internationale de Navigation Aérienne,?,Paris - Prague - Budapest,Caudron C-61,F-AFBT,5307,6,4,2,6,4,2,0,Crashed while en route into a mountain in adverse weather conditions. The pilot was flying at too low of an altitude.
111,"July 09, 1926",0930,"Wolvertem, Belgium",KLM Royal Dutch Airlines,?,Amsterdam - Rotterdam - Brussels - Paris,Fokker F7,H-NACC,4759,2,1,1,2,1,1,0,Crashed into the ground while descending in poor weather.
112,"July 24, 1926",?,"Juist, Germany",Deutsche Lufthansa,?,?,Junkers F-13,D-272,660,5,4,1,5,4,1,0,Crashed under weather related.circumstances.
113,"August 18, 1926",?,"Hurst, Kent, England",Air Union,?,"Lebourget, France - Croydon, England",Bleriot 155,F-AIEB,2,15,13,2,3,2,1,0,The plane made a forced landing at Romney Marsh  in heavy fog.  Engine failure. The pilot initally survived but died a day later.
114,"September 26, 1926",?,"New York, New York",?,?,New York - Paris,Sikorsky S-25,?,?,5,4,1,2,2,0,0,Too much weight caused the landing gear to collapse as the plane took off for Paris on the first trans-Atlantic passenger flight.
115,"October 02, 1926",1527,"Leigh, Kent, Unied Kingdom",Air Union,?,Paris - London,Bleriot 155,F- AICQ,1,7,5,2,7,5,2,0,"After an engine fire, the pilot attempts to make an emergency landing at Penshurst Airfield but crashed.."
116,"October 08, 1926",?,"Bueren, Germany",Deutsche Lufthansa,?,?,Fokker FG III,D-468,1554,4,3,1,4,3,1,0,Weather related.
117,"October 21, 1926",c 13:15,English Channel,Imperial Airways,?,Croydon - Paris,Handley Page W-10,G-EBMS,W10/3,12,10,2,0,0,0,0,"The plane was on a flight from London to Paris when power was lost to the starboard engine. The aircraft began to lose altitude until it eventually ditched into the sea about 18 miles from the English coast. The plane stayed afloat long enough for the fishing boat Invicta, piloted by Captain Marshall, to rescue all aboard. The plane was named Prince Henry."
118,"November 11, 1926",0800,"Cape Bojador, Morocco",Grands Express Aeriens,?,Casablanca -Dakar,Breguet 14,F-AFAX,198,3,3,0,3,3,0,0,"While en route and cruising along the shore, the mail plane's engine failed. The crew made an emergency landing on a beach near Cape Bojador. After the landing, crew was attacked by Maures tribesmen and killed while the aircraft was set on fire and destroyed."
119,"December 16, 1926",?,"Medford, Oregon",Pacific Air Transport,?,?,Ryan M-1,2,?,1,0,1,1,0,1,0,The postal plane crashed into a mountain slope in foggy conditions.
120,"January 12, 1927",?,"Estaires, France",Fokker,?,Delivery flight,Fokker F-VII,G-EBPL,4938,0,0,2,0,0,2,0,The flight crew encountered poor weather conditions and made an emergency landing. The aircraft landed in a field badly damaged and written off.
121,"March 20, 1927",?,"Rabat, Morocco",Grands Express Aeriens,?,Casablanca - Oran,Breguet 14,F-ALRA,?,1,0,1,1,0,1,0,Unknown.
122,"March 24, 1927",?,"Tambo, Qld, Australia",Qantas,?,Charleville - Tambo - Blackall,de Havilland DH-9C,G-AUED,86,3,2,1,3,2,1,0,"While attempting to land, the engine failed, the aircraft stalled and crashed."
